query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
Ec-01_012180.1;EsuBft324_13a-00001;0.03327;0.1006;0.3308;92.437;3911;4231;319;1;1;4031;95.27;2295;6525;8641;98;49;2270;6499;8374;0;7634;19808
Ec-01_012190.1;EsuBft324_8a-00001;0.09864;0.2368;0.4166;87.081;182;209;20;1;7;188;89.95;205;413;413;51;51;35;236;236;8.46e-126;362;930
Ec-01_012250.1;EsuBft324_7a-00001;0.03841;0.171;0.2246;86.232;238;276;18;2;20;242;87.68;23;297;317;87;87;1;257;262;6.52e-163;453;1166
Ec-01_012260.1;EsuBft1184_2a-00001;0.03611;0.1243;0.2906;90.801;306;337;27;3;4;313;92.88;113;447;447;75;75;1;335;335;0;525;1352
Ec-01_012270.1;EsuBft1184_3a-00001;0.09452;0.2044;0.4624;78.616;761;968;69;4;138;790;81.61;1884;2851;2851;82;34;1279;2108;2108;0;1480;3832
Ec-01_012290.1;EsuBft1184_7a-00001;0.01075;0.1444;0.07444;95.215;398;418;10;1;10;403;96.41;219;636;636;66;66;3;410;410;0;779;2011
Ec-01_012320.5;EsuBft584_3a-00001;0.138;0.1533;0.8998;76.86;93;121;24;3;4;103;85.12;65;184;184;65;65;1;118;118;6.32e-49;154;388
Ec-02_000050.1;EsuBft2249_2a-00001;0.05994;0.1872;0.3201;79.172;631;797;52;6;114;646;81.05;351;1118;1379;71;56;7;718;881;0;1161;3004
Ec-02_000060.1;EsuBft1874_3a-00001;0.06496;0.1245;0.5217;74.507;491;659;103;6;65;514;78;28;621;621;96;96;12;670;670;0;819;2115
Ec-02_000070.1;EsuBft1874_4a-00001;0.116;0.2915;0.398;97.521;118;121;3;0;0;120;99.17;88;208;217;56;56;29;149;150;1.96e-85;249;635
Ec-02_000090.1;EsuBft1262_2a-00001;0.02511;0.1489;0.1686;94.51;241;255;14;0;0;250;98.04;19;273;273;93;93;1;255;255;0;504;1297
Ec-02_000100.1;EsuBft1262_3a-00001;0.0439;0.09225;0.4759;90.955;181;199;18;0;0;185;92.96;15;213;213;93;93;1;199;199;2.33e-114;323;829
Ec-02_000120.1;EsuBft1262_5a-00001;0.03495;0.131;0.2668;92.409;280;303;21;2;2;288;95.05;1;303;303;100;100;1;301;301;0;565;1457
Ec-02_000130.1;EsuBft1262_6a-00001;0.04784;0.1899;0.252;89.866;736;819;76;3;7;762;93.04;1;813;813;100;100;1;818;818;0;1286;3328
Ec-02_000180.1;EsuBft407_7a-00001;0.06755;0.1079;0.6259;83.346;1106;1327;185;9;36;1156;87.11;223;1518;1518;85;85;1;1322;1322;0;1891;4898
Ec-02_000190.1;EsuBft407_8a-00001;0.06033;0.166;0.3633;79.741;492;617;64;5;61;506;82.01;1;616;633;97;97;1;557;558;0;944;2441
Ec-02_000210.1;EsuBft407_9a-00001;0.006048;0.1105;0.05472;97.273;214;220;3;1;3;215;97.73;1;217;217;100;100;1;220;220;4.91e-149;412;1060
Ec-02_000240.1;EsuBft407_10a-00001;0.08934;0.1275;0.7007;79.042;132;167;35;0;0;142;85.03;1;167;497;65;34;1;167;535;6.95e-82;263;672
Ec-02_000260.1;EsuBft407_11a-00001;0.08469;0.144;0.588;74.444;268;360;53;3;39;284;78.89;1;344;344;100;100;1;337;337;2.55e-160;451;1160
Ec-02_000270.1;EsuBft407_12a-00001;0.09744;0.2609;0.3734;81.69;232;284;5;2;47;232;81.69;51;287;308;77;77;22;305;350;4.42e-164;459;1182
Ec-02_000300.1;EsuBft1357_6a-00001;0.04749;0.1356;0.3502;90.126;429;476;46;1;1;450;94.54;1;475;475;100;100;1;476;476;0;864;2233
Ec-02_000320.1;EsuBft814_5a-00001;0.05221;0.1033;0.5055;80.687;493;611;77;4;41;505;82.65;1;602;602;100;100;1;579;579;2.53e-165;483;1243
Ec-02_000340.1;EsuBft814_7a-00001;0.015;0.1337;0.1122;95.434;648;679;21;1;10;658;96.91;1;679;682;99;99;1;669;675;0;1343;3475
Ec-02_000350.1;EsuBft814_8a-00001;0.0241;0.1269;0.1899;94.656;372;393;21;0;0;381;96.95;1;393;393;100;100;1;393;393;0;773;1995
Ec-02_000360.1;EsuBft1720_4a-00001;0.06701;0.1617;0.4145;88.851;1044;1175;103;4;28;1081;92;94;1268;2405;49;49;55;1201;1207;0;1925;4986
Ec-02_000370.1;EsuBft1265_4a-00001;0.08616;0.2247;0.3834;87.261;137;157;7;1;13;143;91.08;29;185;185;85;85;83;226;226;7.59e-80;236;602
Ec-02_000380.1;EsuBft1265_8a-00001;0.03724;0.1023;0.364;86.214;444;515;43;3;28;456;88.54;1075;1581;1599;49;32;302;796;797;0;898;2321
Ec-02_000390.1;EsuBft1265_9a-00001;0.1337;0.2278;0.587;86.275;132;153;21;0;0;137;89.54;15;167;167;92;92;33;185;185;6.52e-90;259;662
Ec-02_000410.1;EsuBft1903_7a-00001;0.0202;0.161;0.1255;95.858;162;169;7;0;0;165;97.63;1;169;169;100;100;1;169;169;3.19e-101;287;735
Ec-02_000420.1;EsuBft2388_2a-00001;0.04842;0.08982;0.5392;71.465;278;389;43;3;68;290;74.55;1;343;343;100;100;1;367;367;1.22e-163;461;1185
Ec-02_000430.1;EsuBft1636_3a-00001;0.0331;0.1017;0.3253;92.442;159;172;13;0;0;169;98.26;1;172;172;100;100;3;174;174;1.01e-108;306;785
Ec-02_000440.1;EsuBft1636_4a-00001;0.03073;0.1071;0.2869;89.402;329;368;22;1;17;337;91.58;1;351;383;92;92;1;368;369;0;634;1635
Ec-02_000450.1;EsuBft1636_5a-00001;0.0987;0.2586;0.3817;84.946;158;186;11;1;17;161;86.56;67;252;252;74;74;31;199;199;2.6e-102;295;755
Ec-02_000460.1;EsuBft1636_8a-00001;0.108;0.3487;0.3097;73.362;336;458;69;5;53;354;77.29;520;928;1046;39;39;15;468;470;0;643;1658
Ec-02_000510.1;EsuBft1560_2a-00001;0.05583;0.1671;0.3342;88.822;1033;1163;101;4;29;1075;92.43;143;1279;1520;75;75;1;1160;1207;0;2074;5374
Ec-02_000540.1;EsuBft1560_7a-00001;0.02991;0.1129;0.2648;84.018;368;438;24;1;46;377;86.07;1;392;392;100;100;1;438;438;0;694;1792
Ec-02_000550.1;EsuBft1560_8a-00001;0.1172;0.1362;0.8604;57.692;60;104;16;1;28;64;61.54;1;76;76;100;100;1;104;104;1.76e-31;105;261
Ec-02_000580.2;EsuBft1094_19a-00001;0.06906;0.09597;0.7197;81.905;172;210;26;2;12;176;83.81;1;208;584;36;36;1;200;201;4.2e-92;281;718
Ec-02_000590.1;EsuBft1094_17a-00001;0.01527;0.1142;0.1337;93.574;466;498;18;3;14;472;94.78;1;495;495;100;100;1;487;487;0;840;2169
Ec-02_000610.1;EsuBft1094_16a-00001;0.01811;0.1064;0.1701;95.522;1280;1340;49;3;11;1299;96.94;1;1340;1340;100;100;31;1359;1359;0;2540;6584
Ec-02_000620.1;EsuBft375_12a-00001;0.03278;0.1009;0.3248;92.126;585;635;40;5;10;598;94.17;1;634;852;74;74;497;1122;1331;0;847;2187
Ec-02_000640.1;EsuBft375_11a-00001;0.05779;0.1507;0.3834;82.459;865;1049;130;12;54;889;84.75;1;1032;1032;100;100;1;1012;1012;0;1216;3147
Ec-02_000650.1;EsuBft375_10a-00001;0.05719;0.185;0.3092;81.911;480;586;67;8;39;503;85.84;394;959;959;64;59;159;725;725;0;569;1466
Ec-02_000660.1;EsuBft375_9a-00001;0.02896;0.108;0.2681;89.914;838;932;82;7;12;857;91.95;1;925;1147;81;81;1;927;1152;0;1252;3239
Ec-02_000680.1;EsuBft375_7a-00001;0.03406;0.1376;0.2475;92.308;336;364;24;2;4;343;94.23;1;364;1050;35;35;1;360;370;0;606;1563
Ec-02_000720.1;EsuBft375_5a-00001;0.03758;0.09321;0.4032;92.032;231;251;18;1;2;236;94.02;58;306;306;81;81;1;251;251;1.63e-117;338;866
Ec-02_000730.1;EsuBft375_4a-00001;0.06944;0.1345;0.5165;83.471;909;1089;134;6;46;960;88.15;647;1692;1692;62;62;34;1119;1119;0;1698;4398
Ec-02_000740.1;EsuBft375_2a-00001;0.05592;0.08821;0.634;91.049;356;391;35;0;0;364;93.09;1;391;395;99;99;1;391;406;0;682;1761
Ec-02_000810.1;EsuBft1414_5a-00001;0.06526;0.1766;0.3696;87.612;488;557;67;2;2;510;91.56;1714;2269;2269;25;25;2;557;557;0;993;2567
Ec-02_000830.1;EsuBft1414_7a-00001;0.01718;0.108;0.159;96.528;417;432;15;0;0;423;97.92;71;502;502;86;86;1;432;432;0;862;2227
Ec-02_000840.1;EsuBft709_10a-00001;0.009871;0.1236;0.07989;96.622;1001;1036;25;2;10;1013;97.78;1;1028;1257;100;82;1;1034;1342;0;2054;5321
Ec-02_000850.1;EsuBft709_9a-00001;0.02843;0.1189;0.2391;93.548;203;217;14;0;0;211;97.24;1;217;217;100;100;1;217;217;1.25e-148;411;1057
Ec-02_000870.1;EsuBft709_7a-00001;0.009352;0.1182;0.0791;88.536;865;977;15;5;97;874;89.46;84;963;1110;79;79;3;979;982;0;1740;4506
Ec-02_000890.1;EsuBft709_5a-00001;0.09147;0.1178;0.7762;73.981;708;957;167;8;82;745;77.85;1;915;931;98;98;1;917;933;0;1221;3158
Ec-02_000900.1;EsuBft709_4a-00001;0.06286;0.115;0.5465;85.903;195;227;27;2;5;206;90.75;1;224;224;100;100;1;225;225;2.19e-129;363;932
Ec-02_000910.1;EsuBft709_3a-00001;0.0503;0.09051;0.5558;88.969;371;417;42;3;4;380;91.13;1;416;416;100;100;1;414;414;0;550;1416
Ec-02_000920.1;EsuBft398_10a-00001;0.03015;0.1009;0.2989;93.923;510;543;32;1;1;521;95.95;1;542;542;100;100;1;543;543;0;974;2518
Ec-02_000930.1;EsuBft398_9a-00001;0.01935;0.1034;0.1871;90.668;1331;1468;65;5;72;1356;92.37;180;1627;1627;89;89;29;1444;1444;0;2305;5973
Ec-02_000950.1;EsuBft398_7a-00001;0.09417;0.1683;0.5596;78.506;431;549;85;1;33;460;83.79;69;617;1137;48;48;17;532;534;0;792;2046
Ec-02_000960.1;EsuBft398_5a-00001;0.04615;0.1377;0.3352;82.327;736;894;79;6;79;755;84.45;1;892;892;100;100;1;817;817;0;1049;2712
Ec-02_000970.5;EsuBft398_4a-00001;0.06829;0.1539;0.4438;65.239;670;1027;105;14;252;696;67.77;171;1182;1182;86;86;1;790;790;0;1089;2817
Ec-02_000980.1;EsuBft2682_2a-00001;0.08564;0.2009;0.4262;66.742;295;442;49;4;98;311;70.36;34;394;554;65;65;8;432;444;1.27e-177;508;1307
Ec-02_000990.1;EsuBft2196_3a-00001;0.06053;0.1359;0.4454;96.552;224;232;7;1;1;227;97.84;16;247;258;90;90;14;244;350;3.95e-163;455;1170
Ec-02_001000.1;EsuBft1235_6a-00001;0.04056;0.1256;0.3229;87.719;150;171;12;1;9;153;89.47;49;219;394;74;43;1;162;278;1.04e-77;241;614
Ec-02_001010.1;EsuBft1235_5a-00001;0.04641;0.1666;0.2786;78.207;890;1138;119;12;129;925;81.28;1;1081;1985;54;54;1;1066;1118;0;1591;4119
Ec-02_001020.1;EsuBft1235_3a-00001;0.005748;0.06685;0.08598;98.707;458;464;6;0;0;461;99.35;1;464;464;100;100;1;464;464;0;942;2435
Ec-02_001050.2;EsuBft1610_6a-00001;0.07762;0.1445;0.5374;76.289;518;679;95;5;66;542;79.82;80;729;814;80;80;1;642;644;0;860;2223
Ec-02_001080.1;EsuBft1329_5a-00001;0.08269;0.1146;0.7213;83.731;561;670;89;6;20;582;86.87;95;750;1328;92;49;50;713;1363;0;867;2241
Ec-02_001110.1;EsuBft1659_3a-00001;0.0374;0.1044;0.3583;92.322;493;534;41;0;0;506;94.76;1;534;534;100;100;1;534;534;0;990;2559
Ec-02_001120.4;EsuBft1256_9a-00001;0.02895;0.1107;0.2616;92.153;458;497;29;3;10;467;93.96;1;497;497;100;100;1;487;487;0;835;2156
Ec-02_001130.1;EsuBft2910_2a-00001;0.2726;0.745;0.3659;48.603;87;179;60;5;32;104;58.1;1;174;174;100;100;14;165;165;4.21e-42;138;347
Ec-02_001160.1;EsuBft187_13a-00001;0.04818;0.142;0.3392;79.391;1564;1970;248;20;158;1633;82.89;33;1940;1940;98;98;180;2053;2053;0;2664;6904
Ec-02_001210.1;EsuBft1421_4a-00001;0.007917;0.1115;0.071;98.261;339;345;6;0;0;342;99.13;1;345;345;100;100;1;345;345;0;697;1799
Ec-02_001230.1;EsuBft1421_3a-00001;0.02054;0.128;0.1604;90.264;445;493;38;5;10;449;91.08;1;488;488;100;100;1;488;488;0;546;1407
Ec-02_001250.1;EsuBft1421_2a-00001;0.2084;0.5001;0.4168;93.407;170;182;12;0;0;176;96.7;134;315;315;58;58;89;270;270;1.65e-123;354;908
Ec-02_001280.1;EsuBft1183_4a-00001;0.00585;0.09601;0.06093;78.613;272;346;3;2;71;275;79.48;1;346;346;100;100;1;275;275;0;528;1360
Ec-02_001290.1;EsuBft1183_3a-00001;0.0419;0.09685;0.4326;82.154;1289;1569;139;14;141;1335;85.09;482;2013;2013;76;76;1;1465;1465;0;1938;5020
Ec-02_001370.1;EsuBft1233_9a-00001;0.02981;0.161;0.1852;95.738;292;305;9;1;4;294;96.39;13;317;590;52;52;10;310;313;0;622;1604
Ec-02_001380.1;EsuBft1233_11a-00001;0.02448;0.07504;0.3262;93.869;444;473;27;2;2;452;95.56;154;625;625;76;76;1;472;472;0;863;2229
Ec-02_001390.1;EsuBft2845_3a-00001;0.02926;0.0667;0.4387;86.162;660;766;47;4;59;680;88.77;53;763;763;93;93;1;762;762;0;1231;3186
Ec-02_001400.1;EsuBft140_20a-00001;0.003555;0.07165;0.04961;99.18;363;366;3;0;0;364;99.45;1;366;366;100;100;1;366;366;0;758;1957
Ec-02_001430.1;EsuBft140_19a-00001;0.05906;0.1391;0.4247;75.604;313;414;93;3;8;333;80.43;260;671;738;84;56;52;459;468;0;550;1418
Ec-02_001450.1;EsuBft140_17a-00001;0.01393;0.05005;0.2783;97.087;300;309;9;0;0;304;98.38;1;309;309;100;100;130;438;438;0;613;1581
Ec-02_001460.1;EsuBft140_16a-00001;0.01269;0.09059;0.1401;97.323;618;635;17;0;0;625;98.43;1;635;635;100;100;62;696;696;0;1285;3324
Ec-02_001470.1;EsuBft140_15a-00001;0;0.09367;0;100;180;180;0;0;0;180;100;1;180;180;100;100;21;200;200;1.84e-132;368;945
Ec-02_001480.1;EsuBft140_14a-00001;0.0203;0.06649;0.3054;95.838;806;841;35;0;0;824;97.98;1;841;841;100;100;1;841;841;0;1640;4248
Ec-02_001490.1;EsuBft140_13a-00001;0.02213;0.06629;0.3338;93.518;1183;1265;53;5;29;1202;95.02;1;1242;1242;100;100;1;1259;1259;0;2362;6121
Ec-02_001510.1;EsuBft140_11a-00001;0.01379;0.05875;0.2348;97.155;444;457;13;0;0;449;98.25;53;509;509;90;90;6;462;462;0;847;2189
Ec-02_001530.1;EsuBft140_7a-00001;0.001664;0.08865;0.01877;99.602;250;251;1;0;0;251;100;94;344;344;73;73;1;251;251;0;514;1323
Ec-02_001540.1;EsuBft140_5a-00001;0.05611;0.174;0.3224;70.698;152;215;12;1;51;157;73.02;34;248;388;55;55;1;164;184;1.83e-88;265;676
Ec-02_001550.1;EsuBft140_4a-00001;0.0256;0.09286;0.2757;96.667;87;90;3;0;0;89;98.89;1;90;719;13;13;72;161;167;7.11e-55;185;469
Ec-02_001560.1;EsuBft140_3a-00001;0.02358;0.07395;0.3188;95.091;523;550;26;1;1;528;96;1;550;550;100;100;1;549;549;0;903;2334
Ec-02_001580.1;EsuBft140_2a-00001;0.01438;0.07435;0.1934;95.631;197;206;9;0;0;201;97.57;150;355;788;26;26;2;207;212;2.35e-136;401;1031
Ec-02_001620.1;EsuBft1489_2a-00001;0.02776;0.06417;0.4325;94.562;313;331;18;0;0;317;95.77;1;331;331;100;100;1;331;331;1.94e-173;483;1244
Ec-02_001640.1;EsuBft1489_3a-00001;0.04857;0.09287;0.523;89.744;805;897;90;2;2;828;92.31;1;895;895;100;100;1;897;897;0;1497;3875
Ec-02_001650.2;EsuBft453_15a-00001;0.06009;0.1551;0.3873;89.137;279;313;34;0;0;291;92.97;54;366;943;33;33;2;314;320;0;569;1467
Ec-02_001660.1;EsuBft453_13a-00001;0.06042;0.1629;0.371;89.47;1181;1320;96;5;43;1215;92.05;30;1323;1411;92;92;7;1309;1379;0;2067;5355
Ec-02_001670.1;EsuBft453_12a-00001;0.05944;0.1276;0.4659;78.779;568;721;70;3;83;587;81.41;1020;1686;1808;37;37;1;692;700;0;873;2256
Ec-02_001680.1;EsuBft453_8a-00001;0.0972;0.2401;0.4048;92.105;175;190;15;0;0;178;93.68;223;412;486;39;39;2;191;213;1.86e-108;320;820
Ec-02_001710.1;EsuBft453_6a-00001;0.03341;0.08021;0.4165;92.033;566;615;43;2;6;576;93.66;1;615;615;100;100;1;609;609;0;914;2361
Ec-02_001720.1;EsuBft453_5a-00001;0.02787;0.08499;0.3279;94.131;417;443;26;0;0;430;97.07;1;443;443;100;100;1;443;443;0;770;1989
Ec-02_001740.1;EsuBft453_4a-00001;0.01182;0.07897;0.1497;97.603;285;292;7;0;0;289;98.97;1;292;292;100;100;1;292;292;0;589;1519
Ec-02_001750.1;EsuBft919_3a-00001;0.03226;0.0571;0.5651;92.961;383;412;26;2;3;391;94.9;1;412;412;100;100;1;409;409;0;771;1992
Ec-02_001760.1;EsuBft919_4a-00001;0.01986;0.06063;0.3276;95.359;678;711;32;1;1;689;96.91;1;710;710;100;100;1;711;711;0;1382;3577
Ec-02_001770.1;EsuBft919_5a-00001;0.06066;0.1019;0.5956;78.604;1734;2206;289;21;183;1829;82.91;1;2144;2224;96;96;1;2085;2086;0;2949;7645
Ec-02_001830.1;EsuBft66_4a-00001;0.06039;0.1225;0.4929;90.541;67;74;7;0;0;70;94.59;74;147;637;12;12;1;74;96;3.37e-40;141;355
Ec-02_001850.1;EsuBft5085_2a-00001;0.4305;0.9246;0.4656;55.983;131;234;99;2;4;159;67.95;72;303;368;63;63;43;274;283;8.61e-76;235;599
Ec-02_001910.2;EsuBft2742_3a-00001;0.1093;0.2429;0.4502;79.859;226;283;34;1;23;236;83.39;20;279;338;77;77;131;413;428;6.69e-142;407;1047
Ec-02_001930.1;EsuBft1662_5a-00001;0.05108;0.3668;0.1393;83.796;181;216;29;2;6;190;87.96;3;215;215;99;99;186;398;398;1.62e-100;296;757
Ec-02_001940.1;EsuBft1271_10a-00001;0.04598;0.1106;0.4155;89.771;509;567;54;2;4;523;92.24;1;567;567;100;100;1;563;563;0;942;2434
Ec-02_001950.1;EsuBft1271_9a-00001;0.03591;0.1329;0.2703;93.868;597;636;31;5;8;605;95.13;1;633;633;100;100;1;631;631;0;1191;3082
Ec-02_001960.1;EsuBft1271_8a-00001;0.05543;0.07777;0.7128;89.209;124;139;15;0;0;129;92.81;1;139;139;100;100;1;139;139;1.49e-71;210;534
Ec-02_001970.1;EsuBft2546_2a-00001;0.02208;0.08853;0.2494;96.135;398;414;16;0;0;402;97.1;1;414;414;100;100;1;414;414;0;736;1900
Ec-02_001980.1;EsuBft2283_3a-00001;0.01504;0.1319;0.1141;93.182;533;572;17;7;22;538;94.06;1;571;571;100;100;1;551;551;0;984;2543
Ec-02_002000.1;EsuBft2283_4a-00001;0.03303;0.1001;0.3298;90.963;463;509;32;2;14;477;93.71;30;524;528;94;94;1;509;510;0;919;2375
Ec-02_002020.1;EsuBft564_15a-00001;0;0.05803;0;100;143;143;0;0;0;143;100;1;143;143;100;100;1;143;143;5.64e-107;300;767
Ec-02_002040.1;EsuBft564_13a-00001;0.016;0.1158;0.1382;96.38;426;442;15;1;1;432;97.74;1;441;441;100;100;1;442;442;0;858;2216
Ec-02_002050.1;EsuBft564_12a-00001;0.1745;0.3752;0.4651;71.635;149;208;29;3;30;154;74.04;155;361;454;46;46;20;198;215;2.31e-93;280;717
Ec-02_002080.1;EsuBft564_5a-00001;0.03103;0.1172;0.2649;92.026;427;464;32;3;5;437;94.18;1;464;464;100;100;1;459;459;0;637;1642
Ec-02_002090.1;EsuBft564_4a-00001;0.05264;0.1211;0.4348;84.854;465;548;70;4;13;480;87.59;6;543;543;99;99;187;731;731;0;620;1598
Ec-02_002100.1;EsuBft564_3a-00001;0;0.2364;0;100;40;40;0;0;0;40;100;1;40;46;87;87;1;40;323;4.84e-21;81.6;200
Ec-02_002110.1;EsuBft564_2a-00001;0.2041;0.6576;0.3103;78;39;50;11;0;0;45;90;1;50;76;66;66;1;50;266;1.56e-19;78.6;192
Ec-02_002160.1;EsuBft853_8a-00001;0.05759;0.2687;0.2143;93.793;136;145;9;0;0;138;95.17;1;145;165;88;88;1;145;296;9.31e-97;281;718
Ec-02_002170.1;EsuBft853_7a-00001;0.01277;0.09341;0.1367;97.436;456;468;12;0;0;463;98.93;1;468;468;100;100;1;468;468;0;924;2387
Ec-02_002190.1;EsuBft853_6a-00001;0.05758;0.1838;0.3134;92.191;366;397;25;3;6;372;93.7;142;535;537;73;73;87;480;482;0;523;1348
Ec-02_002200.1;EsuBft853_5a-00001;0.05481;0.181;0.3028;91.27;345;378;33;0;0;358;94.71;17;394;394;96;96;150;527;527;0;703;1815
Ec-02_002210.1;EsuBft853_4a-00001;0.0264;0.05378;0.4909;94.762;199;210;11;0;0;203;96.67;1;210;210;100;100;1;210;210;5.79e-142;394;1011
Ec-02_002220.1;EsuBft853_3a-00001;0.01892;0.1252;0.1511;92.804;1006;1084;72;4;6;1021;94.19;1;1083;1083;100;100;1;1079;1290;0;1655;4286
Ec-02_002270.1;EsuBft1553_4a-00001;0.02742;0.1659;0.1653;97.081;632;651;19;0;0;636;97.7;1;651;664;98;98;1;651;702;0;1309;3388
Ec-02_002280.1;EsuBft1553_5a-00001;0.03177;0.1061;0.2994;90.581;452;499;38;3;9;458;91.78;1;490;490;100;100;1;499;499;0;665;1716
Ec-02_002300.1;EsuBft906_6a-00001;0.07676;0.1694;0.4531;70.978;225;317;33;5;59;235;74.13;18;331;331;95;95;1;261;261;4.55e-140;396;1018
Ec-02_002320.1;EsuBft906_9a-00001;0.04537;0.1422;0.319;91.973;275;299;16;3;8;277;92.64;152;442;1051;81;28;1;299;1203;2.13e-146;468;1203
Ec-02_002330.1;EsuBft906_10a-00001;0.02552;0.1099;0.2323;94.225;310;329;19;0;0;318;96.66;3;331;338;97;97;91;419;422;0;614;1584
Ec-02_002430.1;EsuBft2165_3a-00001;0.0511;0.2127;0.2402;95.66;529;553;23;1;1;538;97.29;1;553;580;95;95;100;651;709;0;1030;2664
Ec-02_002440.1;EsuBft2165_2a-00001;0.03026;0.0829;0.3651;94.245;131;139;8;0;0;134;96.4;15;153;172;81;81;2;140;141;7.2e-94;268;685
Ec-02_002510.1;EsuBft660_9a-00001;0.1715;0.1639;1.046;85.526;195;228;33;0;0;201;88.16;1;228;262;87;87;1;228;279;4.05e-70;216;551
Ec-02_002520.4;EsuBft660_8a-00001;0.04131;0.1653;0.2499;92.308;660;715;51;3;4;670;93.71;1;714;743;96;96;1;712;786;0;1103;2854
Ec-02_002560.1;EsuBft1661_2a-00001;0.06859;0.1293;0.5303;80.31;983;1224;175;10;66;1015;82.92;1;1184;1188;99;99;159;1356;1357;0;1384;3581
Ec-02_002570.1;EsuBft1661_5a-00001;0.01873;0.1076;0.174;96.078;490;510;18;1;2;495;97.06;1;510;552;92;92;1;508;567;0;905;2339
Ec-02_002580.1;EsuBft2932_4a-00001;0.3484;1.097;0.3177;48.869;108;221;54;6;59;130;58.82;1;164;250;66;66;1;219;225;4.57e-57;181;458
Ec-02_002640.1;EsuBft2029_2a-00001;0.0839;0.09522;0.8812;78.423;378;482;78;2;26;403;83.61;1;456;544;84;84;32;513;712;0;648;1671
Ec-02_002650.2;EsuBft2217_2a-00001;0.0433;0.1323;0.3273;94.141;241;256;15;0;0;244;95.31;1;256;349;98;73;1;256;481;6.48e-152;435;1119
Ec-02_002670.1;EsuBft635_3a-00001;0.03325;0.08274;0.4018;89.267;341;382;25;5;16;353;92.41;442;808;808;45;45;2;382;382;0;536;1381
Ec-02_002690.1;EsuBft635_6a-00001;0.228;0.4346;0.5247;100;49;49;0;0;0;49;100;1;49;81;60;60;1;49;123;1.01e-27;96.3;238
Ec-02_002710.1;EsuBft635_10a-00001;0.04028;0.08651;0.4656;91.875;147;160;12;1;1;149;93.12;1;160;160;100;100;1;159;159;2.83e-86;249;635
Ec-02_002730.1;EsuBft635_11a-00001;0.04858;0.07921;0.6132;88.713;1627;1834;177;7;30;1681;91.66;1;1820;1820;100;100;1;1818;1818;0;2693;6980
Ec-02_002740.1;EsuBft635_12a-00001;0.05182;0.1756;0.295;95.755;203;212;8;1;1;206;97.17;1;211;499;42;42;1;212;237;7.15e-141;404;1038
Ec-02_002750.1;EsuBft658_10a-00001;0.0387;0.08239;0.4697;86.012;744;865;82;10;39;765;88.44;1;844;844;100;100;1;847;847;0;1135;2936
Ec-02_002760.1;EsuBft658_7a-00001;0.08472;0.2154;0.3934;82.075;87;106;17;2;2;93;87.74;2;107;178;60;60;1;104;107;1.46e-54;167;424
Ec-02_002780.1;EsuBft658_3a-00001;0.03692;0.09106;0.4055;89.928;375;417;31;3;11;387;92.81;1;409;410;99;99;1;414;423;0;647;1670
Ec-02_002790.1;EsuBft658_2a-00001;0.01696;0.08956;0.1894;96.021;362;377;13;2;2;366;97.08;232;608;608;62;62;1;375;375;0;749;1934
Ec-02_002820.1;EsuBft928_7a-00001;0.02049;0.1885;0.1087;94.785;309;326;15;1;2;312;95.71;121;446;446;73;73;1;324;324;0;585;1508
Ec-02_002830.1;EsuBft928_5a-00001;0.04379;0.1224;0.3579;90.972;262;288;23;1;3;272;94.44;1;288;291;99;99;1;285;353;1.04e-134;384;987
Ec-02_002850.1;EsuBft928_4a-00001;0.03829;0.1105;0.3466;91.695;541;590;47;1;2;556;94.24;1;590;593;99;99;1;588;590;0;1015;2625
Ec-02_002870.1;EsuBft928_3a-00001;0.003817;0.09669;0.03947;99.057;105;106;1;0;0;106;100;1;106;106;100;100;1;106;106;9.43e-77;220;561
Ec-02_002880.1;EsuBft928_2a-00001;0.02059;0.07155;0.2877;78.178;412;527;30;6;85;418;79.32;1;445;445;100;100;1;524;524;0;684;1764
Ec-02_002900.3;EsuBft2483_2a-00001;0.134;0.1738;0.7707;71.56;156;218;37;5;25;170;77.98;17;232;232;93;93;11;205;205;1.18e-92;270;690
Ec-02_002910.1;EsuBft2483_3a-00001;0.07328;0.1149;0.6379;86.755;131;151;19;1;1;135;89.4;4;154;263;57;57;26;175;181;1.59e-48;158;399
Ec-02_002920.1;EsuBft1854_6a-00001;0.1044;0.1467;0.7121;64.571;226;350;51;5;73;238;68;1;294;300;98;98;1;333;335;6.05e-131;375;962
Ec-02_002940.1;EsuBft2221_2a-00001;0.04636;0.1128;0.4109;89.801;995;1108;104;6;9;1024;92.42;1;1103;1103;100;100;1;1104;1104;0;1725;4467
Ec-02_002960.1;EsuBft1393_6a-00001;0.05492;0.1017;0.5401;89.394;118;132;14;0;0;122;92.42;1;132;132;100;100;1;132;132;3.6e-81;234;596
Ec-02_002970.1;EsuBft1860_4a-00001;0.04708;0.1518;0.3101;91.28;492;539;46;1;1;512;94.99;92;629;629;86;86;1;539;539;0;1008;2605
Ec-02_003050.1;EsuBft651_4a-00001;0.002026;0.05504;0.03681;99.502;200;201;1;0;0;201;100;1;201;201;100;100;1;201;201;3.44e-148;409;1050
